0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
1,1,0,3,0,15,15,1,8,13,0,5,3,2,1,1,NaN
1,0,10,0,0,32,1,46,20,4,14,14,1,25,0,1,NaN
1,0,0,0,0,9,2,14,1,1,6,1,2,6,3,1,NaN
1,0,0,0,0,5,4,3,11,12,1,8,0,3,9,0,NaN
0,0,0,0,0,86,19,12,14,9,16,2,10,28,24,8,NaN
0,1,0,0,0,19,0,0,19,0,19,1,0,1,1,0,NaN
0,1,0,0,0,1,41,0,0,19,41,1,0,2,5,21,NaN
1,2,1,0,7,5,29,39,46,43,18,7,15,23,5,0,NaN
0,0,0,0,0,3,9,46,1,47,7,1,9,0,3,0,NaN
0,2,0,1,0,2,11,13,30,0,5,9,3,13,12,2,NaN
1,0,0,7,0,31,11,16,45,33,15,0,33,1,0,18,NaN
5,0,0,0,2,2,45,5,81,0,10,2,0,32,36,0,NaN
1,0,0,0,2,21,45,2,3,18,9,0,22,6,12,4,NaN
0,0,0,0,8,10,61,20,9,0,6,31,0,24,2,2,NaN
0,0,2,0,13,0,14,24,48,6,35,0,0,0,2,2,NaN
0,0,0,1,8,4,0,0,1,5,41,0,7,2,0,0,NaN
0,0,0,0,0,2,43,1,12,31,33,1,0,2,25,0,NaN
0,0,0,1,2,26,0,16,68,8,8,13,1,16,1,5,NaN
0,0,0,7,0,19,10,0,27,35,2,8,13,1,3,0,NaN
0,0,1,0,1,30,40,1,0,8,1,1,21,1,37,12,NaN
0,0,1,1,2,0,21,13,6,14,1,8,14,5,0,0,NaN
0,0,0,1,1,0,10,1,66,6,2,3,36,1,31,26,NaN
0,0,0,0,0,4,58,28,6,41,15,0,19,0,10,19,NaN
0,0,0,1,0,1,10,17,0,14,5,4,2,0,0,20,NaN
0,1,0,1,0,13,27,2,1,7,24,6,5,3,0,7,NaN
0,1,0,0,0,6,28,5,11,25,24,3,19,7,0,3,NaN
0,0,0,0,1,31,18,3,6,5,2,2,3,0,4,52,NaN
0,1,2,0,7,1,40,19,0,12,7,9,1,3,1,0,NaN
0,0,0,1,0,18,33,5,15,6,4,8,28,0,19,0,NaN
0,0,0,1,0,20,0,9,46,11,26,3,15,0,21,1,NaN
0,2,0,1,1,25,0,16,2,0,0,11,1,1,0,1,NaN
0,0,0,1,0,6,4,17,0,1,1,3,2,2,15,0,NaN
4,0,2,3,0,3,37,0,4,6,2,0,22,47,5,1,NaN
1,0,0,1,8,37,47,15,14,33,10,7,9,1,0,1,NaN
0,0,1,0,1,0,1,11,2,41,15,4,0,0,0,0,NaN
1,1,0,1,0,37,5,54,34,23,2,8,15,1,0,9,NaN
0,1,0,0,0,3,0,53,30,21,4,1,3,0,0,6,NaN
1,0,0,2,0,32,1,15,36,50,11,7,16,3,2,12,NaN
0,1,0,1,0,6,50,11,39,30,5,2,2,1,3,13,NaN
0,0,0,3,0,40,2,33,12,13,16,0,9,0,2,0,NaN
0,0,1,0,0,0,37,58,77,9,4,2,1,1,0,16,NaN
0,0,0,0,2,1,21,29,2,43,7,0,31,13,1,1,NaN
0,0,0,0,7,40,1,12,17,0,21,8,0,0,0,5,NaN
