0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,0,13,71,28,13,0,0,1,0,0,0,0,NaN
0,0,0,0,1,7,53,65,20,0,0,0,0,0,0,0,NaN
0,0,0,0,0,21,0,10,0,3,0,1,0,0,0,0,NaN
0,0,0,0,0,7,20,2,0,2,0,0,0,0,0,0,NaN
0,0,0,0,0,13,48,7,3,0,0,0,0,0,0,0,NaN
0,0,0,0,1,29,43,1,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,0,14,0,2,1,0,0,0,0,0,NaN
0,0,0,0,0,23,38,3,17,5,0,0,0,0,0,0,NaN
0,0,0,0,1,11,51,45,7,3,0,0,0,0,0,0,NaN
0,0,0,0,0,6,22,14,17,1,0,0,0,0,0,0,NaN
0,0,0,0,13,20,71,2,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,NaN
0,0,0,0,3,31,5,2,2,3,1,0,0,0,0,0,NaN
0,0,0,0,0,4,0,19,11,0,0,0,0,0,0,0,NaN
0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,42,58,4,28,0,2,0,0,0,0,0,NaN
0,0,0,0,0,10,24,5,0,1,0,0,0,0,0,0,NaN
0,0,0,0,13,2,3,58,16,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,36,0,0,1,1,0,0,0,0,0,NaN
0,0,0,0,0,34,2,24,21,0,0,0,0,0,0,0,NaN
0,0,0,0,1,1,18,48,18,0,0,0,0,0,0,0,NaN
0,0,0,0,0,20,0,4,22,1,0,0,0,1,0,0,NaN
0,0,0,0,2,1,12,2,3,7,0,0,0,0,0,0,NaN
0,0,0,0,0,2,40,31,0,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,6,16,1,0,0,0,0,0,0,NaN
0,0,0,0,0,30,0,13,1,1,1,0,0,1,0,0,NaN
0,0,0,0,6,11,0,33,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,NaN
0,0,0,0,0,14,10,5,4,5,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,0,12,12,0,1,0,0,0,0,NaN
0,0,0,0,0,1,49,63,4,0,1,0,0,0,0,0,NaN
0,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,NaN
0,0,0,0,0,1,40,7,0,0,0,1,0,0,0,0,NaN
0,0,0,0,0,1,44,17,4,4,0,0,0,0,0,0,NaN
0,0,0,0,1,4,3,5,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,18,0,52,0,2,0,0,0,1,0,0,NaN
0,0,0,0,11,7,13,7,8,0,1,0,0,0,0,0,NaN
0,0,0,0,48,55,16,2,7,1,3,0,0,0,0,0,NaN
0,0,0,0,2,50,61,10,17,0,0,0,0,0,0,0,NaN
0,0,0,0,0,50,4,18,6,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,14,56,17,1,0,0,0,0,0,0,NaN
0,0,0,0,15,9,41,16,2,7,0,0,0,0,0,0,NaN
0,0,0,0,0,11,37,0,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,33,16,1,0,1,0,0,0,0,0,NaN
0,0,0,0,0,1,0,33,32,0,0,0,0,1,0,0,NaN
0,0,0,0,0,14,56,25,6,10,0,1,0,0,0,0,NaN
0,0,0,0,0,18,20,0,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,43,1,6,0,0,0,0,0,0,0,NaN
0,0,0,0,1,8,0,32,21,2,0,0,0,0,0,0,NaN
0,0,0,0,1,0,23,9,20,0,0,0,0,0,0,0,NaN
0,0,0,0,0,13,44,11,1,0,0,0,0,0,0,0,NaN
0,0,0,0,5,3,0,12,19,0,0,0,0,0,0,0,NaN
0,0,0,0,1,34,56,12,11,3,0,0,0,0,0,0,NaN
0,0,0,0,0,21,0,10,2,1,0,0,0,0,0,0,NaN
0,0,0,0,14,38,11,27,7,0,0,0,0,0,0,0,NaN
0,0,0,0,0,19,17,68,37,0,0,0,0,1,0,0,NaN
0,0,0,0,2,1,2,17,9,0,0,0,0,0,0,0,NaN
0,0,0,0,0,2,0,30,0,3,0,0,0,0,0,0,NaN
0,0,0,0,0,25,3,9,48,3,1,0,0,0,1,0,NaN
0,0,0,0,13,0,11,14,22,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,18,24,1,2,0,0,0,0,0,0,NaN
0,0,0,0,0,9,47,39,30,0,0,0,0,0,0,0,NaN
0,0,0,0,0,14,49,39,3,0,1,0,0,0,0,0,NaN
0,0,0,0,0,15,33,1,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,NaN
0,0,0,0,40,7,50,11,0,1,0,0,0,1,0,0,NaN
0,0,0,0,0,11,0,37,15,0,3,0,0,0,0,0,NaN
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,6,29,27,6,0,0,0,0,0,0,0,NaN
0,0,0,0,1,49,69,8,8,6,6,0,0,0,0,1,NaN
0,0,0,0,0,0,6,0,22,2,0,0,0,0,0,0,NaN
0,0,0,0,0,5,72,24,1,2,0,0,0,1,1,0,NaN
0,0,0,0,1,15,26,13,4,0,0,0,0,0,0,0,NaN
0,0,0,0,0,43,0,19,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,2,74,0,19,0,0,0,0,0,0,0,NaN
0,0,0,0,0,20,64,53,4,0,0,0,0,0,0,0,NaN
0,0,0,0,0,28,0,17,7,2,0,0,0,0,0,0,NaN
0,0,0,0,1,13,0,0,3,0,0,0,0,0,0,0,NaN
0,0,0,0,1,0,118,0,5,3,0,0,0,0,0,0,NaN
0,0,0,0,0,0,48,7,12,3,1,0,0,0,0,0,NaN
0,0,0,0,0,3,5,35,0,0,0,0,0,0,0,0,NaN
0,0,0,0,5,1,20,32,2,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,49,19,0,0,5,1,0,1,0,0,NaN
0,0,0,0,0,19,0,30,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,26,2,18,5,6,0,0,0,0,0,NaN
0,0,0,0,0,1,93,32,10,1,0,0,0,0,0,0,NaN
0,0,0,0,10,13,4,7,43,10,0,0,0,0,0,0,NaN
0,0,0,0,0,41,36,13,13,0,0,0,0,0,0,0,NaN
0,0,0,0,0,28,36,3,0,0,0,0,0,0,0,0,NaN
0,0,0,0,1,18,29,31,7,10,1,0,0,0,0,0,NaN
0,0,0,0,0,17,5,28,6,0,1,0,0,0,0,0,NaN
0,0,0,0,3,41,27,6,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,38,0,28,1,0,0,0,0,0,0,0,NaN
0,0,0,0,19,34,7,3,0,0,0,0,0,0,0,0,NaN
0,0,0,0,17,24,38,113,18,0,0,0,0,0,0,0,NaN
0,0,0,0,0,19,30,28,18,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,4,5,8,4,1,0,0,0,0,0,NaN
0,0,0,0,1,17,70,16,23,1,0,1,0,0,0,0,NaN
0,0,0,0,0,94,0,29,19,0,0,0,0,0,0,0,NaN
0,0,0,0,0,15,5,9,1,0,0,0,0,0,0,0,NaN
0,0,0,0,2,0,33,11,0,0,0,0,0,0,0,0,NaN
0,0,0,0,18,2,11,0,5,0,1,0,0,1,0,0,NaN
0,0,0,0,0,10,3,34,9,0,0,0,0,0,0,0,NaN
0,0,0,0,26,0,109,5,5,0,0,0,0,1,0,0,NaN
0,0,0,0,1,0,0,17,2,0,0,0,0,0,0,0,NaN
0,0,0,0,0,21,25,14,17,3,1,0,0,0,0,0,NaN
0,0,0,0,0,5,56,91,0,1,0,0,0,0,0,0,NaN
0,0,0,0,2,15,51,12,0,0,0,0,0,0,0,0,NaN
