0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,0,0,0,2,51,131,25,0,16,0,0,0,NaN
0,0,0,0,14,9,31,76,54,82,20,0,3,0,0,0,NaN
0,0,0,0,1,0,35,65,77,45,8,0,0,0,0,0,NaN
0,0,0,0,0,0,13,66,19,11,11,4,0,2,0,0,NaN
0,0,0,0,1,0,14,0,29,104,22,2,0,0,0,0,NaN
0,0,0,0,2,0,17,29,114,75,10,7,0,0,0,0,NaN
0,0,0,0,0,42,83,0,80,24,24,2,0,0,1,0,NaN
0,0,0,0,0,4,1,42,59,52,9,1,0,0,0,0,NaN
0,0,0,1,0,0,75,0,12,34,29,0,1,0,0,0,NaN
0,0,0,0,0,20,54,0,77,101,24,0,0,0,0,0,NaN
0,0,0,0,1,0,0,0,79,15,83,1,0,0,0,0,NaN
0,0,0,0,0,3,20,59,1,111,60,12,0,0,0,0,NaN
0,0,0,0,0,0,18,94,40,75,8,3,0,16,0,0,NaN
0,0,0,0,0,0,9,104,33,49,7,0,0,0,0,0,NaN
0,0,0,0,5,1,34,1,71,56,22,2,0,0,0,0,NaN
0,0,0,0,0,24,6,67,6,26,18,0,0,0,1,0,NaN
0,0,0,0,0,25,33,0,48,82,10,9,0,1,0,0,NaN
0,0,0,0,0,3,30,127,43,88,62,28,1,1,0,0,NaN
0,0,0,0,0,14,0,29,8,58,23,1,0,0,0,0,NaN
0,0,0,0,0,7,5,0,23,17,0,7,0,0,0,0,NaN
0,0,0,1,0,0,62,23,40,1,14,1,0,0,0,0,NaN
0,0,0,0,0,1,36,36,32,1,16,14,0,0,0,0,NaN
0,0,0,0,0,25,40,39,95,6,30,11,1,0,0,0,NaN
0,0,0,0,0,0,9,0,27,71,7,1,0,0,0,0,NaN
0,0,0,0,0,12,34,95,62,19,3,0,1,1,0,0,NaN
0,0,0,0,0,40,60,26,30,98,15,0,0,0,0,0,NaN
0,0,0,0,14,0,15,45,131,53,25,13,0,0,0,0,NaN
0,0,0,0,0,1,48,38,87,113,8,1,3,0,0,0,NaN
0,0,0,0,0,11,94,114,39,164,4,0,1,0,0,0,NaN
0,0,0,0,15,21,82,92,24,52,14,5,0,0,0,0,NaN
0,0,0,0,2,35,38,134,90,53,1,0,0,1,0,0,NaN
0,0,0,0,0,0,34,67,58,82,37,9,0,0,0,0,NaN
0,0,0,0,0,3,20,27,27,29,1,1,2,0,0,0,NaN
0,0,0,0,0,0,91,69,89,0,39,0,3,0,0,0,NaN
0,0,0,0,0,1,38,38,54,18,3,3,0,0,0,0,NaN
0,0,0,0,3,30,8,76,19,90,1,1,0,1,0,0,NaN
0,0,0,0,2,41,53,146,85,4,8,16,1,0,0,0,NaN
0,0,0,0,27,0,29,59,135,75,2,1,0,0,0,0,NaN
0,0,0,1,0,34,7,1,64,38,1,7,1,0,0,0,NaN
0,0,0,0,0,14,32,60,45,32,13,0,0,0,0,0,NaN
0,0,0,0,8,35,27,53,87,132,2,1,0,0,0,0,NaN
0,0,0,0,0,8,26,107,84,49,14,2,0,0,0,0,NaN
0,0,0,0,0,0,37,0,11,0,2,6,0,0,0,0,NaN
0,0,0,0,0,38,72,120,46,23,10,7,2,0,0,0,NaN
0,0,0,0,16,23,30,0,40,41,18,11,0,0,0,0,NaN
0,0,0,0,6,10,40,145,97,136,0,7,1,0,0,0,NaN
0,0,0,0,0,2,15,72,66,89,10,0,0,0,0,0,NaN
0,0,0,0,1,22,35,0,38,45,0,2,0,3,0,0,NaN
0,0,0,0,0,0,48,115,68,70,0,3,0,0,0,0,NaN
0,0,0,0,0,12,58,0,37,19,3,0,1,2,0,0,NaN
0,0,0,0,0,0,34,0,26,62,0,4,0,2,0,0,NaN
0,0,0,0,4,16,39,82,47,57,9,0,0,0,0,0,NaN
0,1,0,0,1,22,0,69,106,13,6,0,1,0,0,0,NaN
0,0,0,0,0,33,46,41,37,59,15,3,0,1,0,0,NaN
0,0,0,1,13,49,52,34,22,143,25,0,0,0,0,0,NaN
0,0,0,0,1,7,0,64,26,8,17,1,0,0,0,0,NaN
0,0,0,0,1,39,111,59,1,21,5,0,0,0,1,0,NaN
0,0,0,0,7,0,2,44,99,62,11,0,0,0,0,0,NaN
0,0,0,0,1,1,26,57,71,58,6,1,0,0,0,0,NaN
0,0,0,0,0,0,24,99,5,36,5,0,9,0,0,0,NaN
