0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,1,0,1,4,1,44,41,96,105,26,144,37,4,0,9
0,1,0,0,1,31,1,76,89,62,51,30,1,6,14,0,0
0,3,0,1,1,4,15,74,68,24,42,0,0,13,0,0,0
0,0,0,0,0,0,1,29,98,120,103,104,43,30,30,29,119
0,1,0,0,0,1,0,88,51,49,4,83,9,22,43,9,1
0,0,0,0,0,0,7,17,32,89,93,141,10,19,80,0,28
2,12,1,1,2,11,20,22,29,78,70,104,81,65,12,5,12
0,1,1,0,8,9,45,60,31,30,108,60,109,23,32,1,1
3,0,0,0,0,0,35,10,91,77,18,78,53,23,44,17,7
0,0,0,0,1,5,21,90,20,87,44,58,33,8,72,30,82
0,0,0,0,5,1,17,11,22,15,90,103,6,12,4,0,44
0,0,1,1,0,7,31,9,72,101,57,50,9,10,92,13,59
0,1,2,1,9,0,3,0,42,90,138,77,116,5,1,82,17
0,1,0,0,1,0,6,56,37,46,73,80,59,45,43,0,17
1,0,2,0,1,10,7,42,45,92,86,89,86,43,5,64,34
0,27,0,0,2,17,18,35,73,10,169,98,16,34,8,33,1
0,1,0,0,0,0,16,82,1,91,51,27,78,23,91,1,11
0,1,1,7,7,25,32,36,67,13,30,36,41,20,13,1,11
0,0,0,0,0,1,27,0,68,72,70,67,12,10,13,0,3
0,2,0,0,0,14,0,6,79,109,38,156,102,10,53,36,7
0,0,0,0,0,1,1,41,51,50,66,37,1,6,85,0,3
0,1,0,0,0,16,9,21,58,66,110,3,0,22,7,61,52
0,3,0,1,0,0,13,69,34,71,140,130,23,49,20,2,1
0,0,0,0,0,0,8,88,40,70,4,148,41,14,36,82,9
0,1,0,0,0,0,0,88,58,80,22,64,72,70,54,0,4
0,0,0,1,12,4,28,38,88,74,74,49,95,0,45,24,98
3,0,0,0,0,2,1,35,46,22,30,5,36,20,4,22,0
1,0,0,0,1,40,12,30,129,131,53,76,91,43,48,11,16
0,3,0,0,1,13,26,49,53,103,62,65,61,20,45,52,19
0,0,0,0,0,9,3,77,62,55,108,182,15,43,7,37,7
0,2,0,0,0,20,0,93,44,65,71,48,2,16,30,2,2
0,0,1,0,0,7,36,40,5,46,45,41,51,11,82,4,22
0,1,0,0,0,37,32,42,84,45,94,56,19,1,31,10,0
0,0,0,0,1,1,31,37,75,130,12,102,20,12,6,0,20
0,1,0,0,0,16,44,17,173,83,104,33,36,51,14,35,91
0,0,1,0,3,14,7,1,57,66,153,0,25,1,24,12,8
1,0,0,0,0,6,26,65,40,105,45,168,13,11,14,14,36
0,0,0,0,3,13,9,77,41,32,19,125,104,3,1,6,8
0,0,1,0,3,28,0,41,35,143,39,92,50,8,27,22,29
1,0,0,0,0,13,8,17,60,30,38,94,90,46,43,0,21
0,1,2,0,0,28,0,42,153,87,58,13,55,49,19,6,34
0,0,0,1,1,12,15,73,96,58,60,82,99,35,86,11,10
4,0,1,0,3,14,21,24,152,0,72,102,57,33,8,9,16
0,1,1,1,1,31,25,47,100,47,108,37,17,32,24,20,15
1,1,0,0,0,1,20,62,61,27,59,102,4,41,44,36,9
0,0,0,0,0,7,89,32,43,131,38,27,32,30,115,27,4
1,0,0,0,0,7,9,31,93,3,24,87,62,2,0,2,5
0,0,0,0,4,30,29,72,31,98,18,64,53,54,63,19,0
1,0,0,0,0,3,21,54,58,48,37,86,75,24,8,37,2
0,0,3,0,0,4,12,31,58,17,25,45,48,36,51,24,3
1,0,0,1,0,6,47,52,74,112,113,136,23,43,6,3,58
0,1,2,0,17,4,42,33,23,112,82,34,26,0,23,88,33
1,1,0,0,1,1,11,0,76,5,139,27,63,42,65,6,0
0,0,0,0,1,17,10,23,0,46,135,105,94,16,11,22,34
0,0,0,0,9,1,38,0,53,56,73,10,6,14,77,39,14
0,1,2,1,0,0,1,25,68,30,46,18,58,36,8,1,9
0,0,2,0,1,0,9,88,93,89,119,71,30,25,10,45,2
0,0,1,0,10,10,20,65,29,61,61,70,36,23,44,0,17
0,0,0,0,0,1,35,58,92,4,102,34,69,28,45,57,25
0,1,0,0,27,3,38,68,78,28,40,0,36,23,0,0,6
